model,source_run,dimension,clean_correct_noisy_wrong
gpt-5.4-nano,repeat_2,typos,67
gpt-5.4-nano,repeat_2,cursing,112
gpt-5.4-nano,repeat_2,irrelevant_context,83
gpt-5.4-nano,repeat_2,removed_spaces,65
gpt-5.4-nano,repeat_2,argumentative_challenge,87
gpt-5.4-nano,repeat_2,pasted_context_block,111
gpt-5.4-nano,repeat_2,telegraphic_request,96
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,typos,12
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,cursing,30
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,irrelevant_context,29
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,removed_spaces,13
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,argumentative_challenge,23
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,pasted_context_block,26
claude-haiku-4-5-20251001,haiku_batch_2351_limit_2351,telegraphic_request,51
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,typos,49
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,cursing,76
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,irrelevant_context,52
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,removed_spaces,48
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,argumentative_challenge,60
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,pasted_context_block,46
z-ai/glm-4.6,glm46_deepinfra_cap1024_full,telegraphic_request,86
