model,dimension,base_id,review_label,artifact_type,short_explanation,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction
gpt-5.4-nano,cursing,live_parallel_9-5-0,true_model_failure,missing_tool_call,Drops the 4 GB AWS pricing lookup.,What's cost of 2 and 4 gb ram machine on aws ec2 with one CPU?,what's cost of 2 and 4 gb ram machine on aws ec2 with one CPU? fucking please man,"[{""get_aws_pricing"": {""cpu"": [""single""], ""memory"": [2], ""operating_system"": ["""", ""Linux""], ""region"": ["""", ""us-east-1""]}}, {""get_aws_pricing"": {""cpu"": [""single""], ""memory"": [4], ""operating_system"": ["""", ""Linux""], ""region"": ["""", ""us-east-1""]}}]","[{""arguments"": {""cpu"": ""single"", ""memory"": 2, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}, {""arguments"": {""cpu"": ""single"", ""memory"": 4, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}]","[{""arguments"": {""cpu"": ""single"", ""memory"": 2, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}]"
gpt-5.4-nano,telegraphic_request,live_parallel_multiple_6-5-0,true_model_failure,missing_tool_call,Drops the Java interviewer lookup from a terse request.,interviewers list for Python and Java,interviewers list Python and Java,"[{""get_interviewer_list"": {""availability"": ["""", true], ""experience_level"": ["""", ""Mid-Level""], ""skill"": [""Python""]}}, {""get_interviewer_list"": {""availability"": ["""", true], ""experience_level"": ["""", ""Mid-Level""], ""skill"": [""Java""]}}]","[{""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Python""}, ""name"": ""get_interviewer_list""}, {""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Java""}, ""name"": ""get_interviewer_list""}]","[{""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Python""}, ""name"": ""get_interviewer_list""}]"
gpt-5.4-nano,pasted_context_block,live_multiple_125-47-1,true_model_failure,wrong_tool_routing,Routes multiply to add after messy pasted preamble.,"You are an Generative AI functions agent which generates the output mentioning which function to be called from the given list. Strictly use the mentioned functions only to generate the output. You have access to below tools 
[{'name': 'multiply', 'description': 'multiply(a: int, b: int) -> int - Performs multiplication of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Multiplication of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'add', 'description': 'add(a: int, b: int) -> int - Addition of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Adds of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'sub', 'description': 'sub(a: int, b: int) -> int - Substracts two numbers.\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Substracts of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'fahrenheit_to_celsius', 'description': 'fahrenheit_to_celsius(fahrenheit: float) -> float - Convert temperature from Fahrenheit to Celsius.\n\n    Args:\n    fahrenheit (float): Temperature in Fahrenheit\n\n    Returns:\n    float: Temperature converted to Celsius', 'parameters': {'type': 'object', 'properties': {'fahrenheit': {'type': 'number'}}, 'required': ['fahrenheit']}}, {'name': 'celsius_to_fahrenheit', 'description': 'celsius_to_fahrenheit(celsius: float) -> float - Convert temperature from Celsius to Fahrenheit.\n\n    Args:\n    celsius (float): Temperature in Celsius\n\n    Returns:\n    float: Temperature converted to Fahrenheit', 'parameters': {'type': 'object', 'properties': {'celsius': {'type': 'number'}}, 'required': ['celsius']}}, {'name': 'duck_duck_go', 'description': 'A wrapper around Duck Duck Go Search. Useful for when you need to answer questions about current events. Input should be a search query. Output is a JSON array of the query results', 'parameters': {'type': 'object', 'properties': {'query': {'description': 'search query to look up', 'type': 'string'}}, 'required': ['query']}}]
 
QUERY:3 of my friends gave me 10 euros each, how much do I have now? 
 Functions to use:['multiply', 'add', 'sub', 'fahrenheit_to_celsius', 'celsius_to_fahrenheit', 'duck_duck_go']","based on the earlier draft please but ignore the opener. also ignore the ending, both made it worse

You are an Generative AI functions agent which generates the output mentioning which function to be called from the given list. Strictly use the mentioned functions only to generate the output. You have access to below tools 
[{'name': 'multiply', 'description': 'multiply(a: int, b: int) -> int - Performs multiplication of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Multiplication of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'add', 'description': 'add(a: int, b: int) -> int - Addition of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Adds of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'sub', 'description': 'sub(a: int, b: int) -> int - Substracts two numbers.\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Substracts of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'fahrenheit_to_celsius', 'description': 'fahrenheit_to_celsius(fahrenheit: float) -> float - Convert temperature from Fahrenheit to Celsius.\n\n    Args:\n    fahrenheit (float): Temperature in Fahrenheit\n\n    Returns:\n    float: Temperature converted to Celsius', 'parameters': {'type': 'object', 'properties': {'fahrenheit': {'type': 'number'}}, 'required': ['fahrenheit']}}, {'name': 'celsius_to_fahrenheit', 'description': 'celsius_to_fahrenheit(celsius: float) -> float - Convert temperature from Celsius to Fahrenheit.\n\n    Args:\n    celsius (float): Temperature in Celsius\n\n    Returns:\n    float: Temperature converted to Fahrenheit', 'parameters': {'type': 'object', 'properties': {'celsius': {'type': 'number'}}, 'required': ['celsius']}}, {'name': 'duck_duck_go', 'description': 'A wrapper around Duck Duck Go Search. Useful for when you need to answer questions about current events. Input should be a search query. Output is a JSON array of the query results', 'parameters': {'type': 'object', 'properties': {'query': {'description': 'search query to look up', 'type': 'string'}}, 'required': ['query']}}]
 
QUERY:3 of my friends gave me 10 euros each, how much do I have now? 
 Functions to use:['multiply', 'add', 'sub', 'fahrenheit_to_celsius', 'celsius_to_fahrenheit', 'duck_duck_go']","[{""multiply"": {""a"": [3], ""b"": [10]}}]","[{""arguments"": {""a"": 3, ""b"": 10}, ""name"": ""multiply""}]","[{""arguments"": {""a"": 10, ""b"": 10}, ""name"": ""add""}]"
claude-haiku-4-5-20251001,telegraphic_request,simple_python_370,true_model_failure,wrong_argument_value,Turns a five-pound bag of rice into quantity five.,Order three bottles of olive oil and a five pound bag of rice from Safeway in Palo Alto.,Order three bottles olive oil and five pound bag of rice from Safeway in Palo Alto.,"[{""safeway.order"": {""items"": [[""olive oil"", ""rice""], [""olive oil"", ""bag of rice""]], ""location"": [""Palo Alto"", ""Palo Alto, CA""], ""quantity"": [[3, 1]]}}]","[{""arguments"": {""items"": [""olive oil"", ""rice""], ""location"": ""Palo Alto, CA"", ""quantity"": [3, 1]}, ""name"": ""safeway.order""}]","[{""arguments"": {""items"": [""olive oil"", ""rice""], ""location"": ""Palo Alto, CA"", ""quantity"": [3, 5]}, ""name"": ""safeway.order""}]"
claude-haiku-4-5-20251001,telegraphic_request,multiple_24,true_model_failure,missing_or_extra_tool_call,Adds an extra chess-club lookup to a route request.,What is the fastest route from London to Edinburgh for playing a chess championship? Also provide an estimate of the distance.,fastest route from London Edinburgh playing chess championship Also provide estimate distance.,"[{""route_planner.calculate_route"": {""destination"": [""Edinburgh""], ""method"": [""fastest"", """"], ""start"": [""London""]}}]","[{""arguments"": {""destination"": ""Edinburgh"", ""method"": ""fastest"", ""start"": ""London""}, ""name"": ""route_planner.calculate_route""}]","[{""arguments"": {""destination"": ""Edinburgh"", ""method"": ""fastest"", ""start"": ""London""}, ""name"": ""route_planner.calculate_route""}, {""arguments"": {""city"": ""Edinburgh"", ""event"": ""chess championship"", ""name"": ""chess championship""}, ""name"": ""chess_club_details.find""}]"
z-ai/glm-4.6,telegraphic_request,live_multiple_0-0-0,true_model_failure,wrong_argument_value,Loses the literal boiling-hot special instruction.,update my latte to a large size with coconut milk and make it extra sweet? make it served 'boiling hot' as the special request. The drink id is 'latte',update latte large size coconut milk and make extra sweet make served 'boiling hot' special request. drink id 'latte',"[{""ChaDri.change_drink"": {""drink_id"": [""latte""], ""new_preferences"": [{""milk_type"": [""coconut""], ""size"": [""large""], ""special_instructions"": [""served boiling hot"", ""serve boiling hot"", ""boiling hot"", ""served 'boiling hot'""], ""sweetness_level"": [""extra""], ""temperature"": [""hot""]}]}}]","[{""arguments"": {""drink_id"": ""latte"", ""new_preferences"": {""milk_type"": ""coconut"", ""size"": ""large"", ""special_instructions"": ""boiling hot"", ""sweetness_level"": ""extra"", ""temperature"": ""hot""}}, ""name"": ""ChaDri.change_drink""}]","[{""arguments"": {""drink_id"": ""latte"", ""new_preferences"": {""milk_type"": ""coconut"", ""size"": ""large"", ""special_instructions"": ""special request"", ""sweetness_level"": ""extra"", ""temperature"": ""hot""}}, ""name"": ""ChaDri.change_drink""}]"
z-ai/glm-4.6,telegraphic_request,parallel_multiple_2,true_model_failure,missing_or_extra_tool_call,Drops one of the requested geometry calls.,Find the area and perimeter of a circle with a radius of 5 and also find the circumference of a circle with diameter of 10.,Find area and perimeter circle radius 5 and also find circumference circle diameter 10.,"[{""circle.calculate_area"": {""radius"": [5]}}, {""circle.calculate_circumference"": {""diameter"": [10]}}]","[{""arguments"": {""radius"": 5}, ""name"": ""circle.calculate_area""}, {""arguments"": {""diameter"": 10}, ""name"": ""circle.calculate_circumference""}]","[{""arguments"": {""radius"": 5}, ""name"": ""circle.calculate_area""}, {""arguments"": {""diameter"": 10}, ""name"": ""circle.calculate_circumference""}, {""arguments"": {""diameter"": 10}, ""name"": ""circle.calculate_circumference""}]"
z-ai/glm-4.6,cursing,live_parallel_11-7-0,true_model_failure,missing_or_extra_tool_call,Drops a required parallel nutrition/logging call under profane phrasing.,"I had 8 pieces of frozen mango and a chai tea.

Earlier I had two slices of pepperoni pizza and a coffee","man for fuck sake i had 8 pieces of frozen mango and a chai tea.

Earlier I had two slices of pepperoni pizza and a coffee","[{""log_food"": {""food_name"": [""frozen mango""], ""meal_type"": ["""", ""snack""], ""portion_amount"": [8.0], ""portion_unit"": [""piece""]}}, {""log_food"": {""food_name"": [""chai tea""], ""meal_type"": ["""", ""snack""], ""portion_amount"": [1.0], ""portion_unit"": [""cup""]}}, {""log_food"": {""food_name"": [""pepperoni pizza""], ""meal_type"": ["""", ""snack""], ""portion_amount"": [2.0], ""portion_unit"": [""slice""]}}, {""log_food"": {""food_name"": [""coffee""], ""meal_type"": ["""", ""snack""], ""portion_amount"": [1.0], ""portion_unit"": [""cup""]}}]","[{""arguments"": {""food_name"": ""frozen mango"", ""portion_amount"": 8, ""portion_unit"": ""piece""}, ""name"": ""log_food""}, {""arguments"": {""food_name"": ""chai tea"", ""portion_amount"": 1, ""portion_unit"": ""cup""}, ""name"": ""log_food""}, {""arguments"": {""food_name"": ""pepperoni pizza"", ""portion_amount"": 2, ""portion_unit"": ""slice""}, ""name"": ""log_food""}, {""arguments"": {""food_name"": ""coffee"", ""portion_amount"": 1, ""portion_unit"": ""cup""}, ""name"": ""log_food""}]","[{""arguments"": {""food_name"": ""frozen mango"", ""meal_type"": ""snack"", ""portion_amount"": 8, ""portion_unit"": ""piece""}, ""name"": ""log_food""}, {""arguments"": {""food_name"": ""pepperoni pizza"", ""meal_type"": ""lunch"", ""portion_amount"": 2, ""portion_unit"": ""slice""}, ""name"": ""log_food""}]"
claude-haiku-4-5-20251001,telegraphic_request,simple_python_201,possible_oracle_artifact,alias_or_format_mismatch,Panda vs giant-panda synonym/ontology strictness.,Estimate the population of pandas in the wild in China.,Estimate population pandas in wild in China.,"[{""estimate_population"": {""country"": [""China"", ""CN""], ""species"": [""panda"", ""pandas""], ""year"": ["""", 2024]}}]","[{""arguments"": {""country"": ""China"", ""species"": ""panda""}, ""name"": ""estimate_population""}]","[{""arguments"": {""country"": ""China"", ""species"": ""giant panda""}, ""name"": ""estimate_population""}]"
claude-haiku-4-5-20251001,telegraphic_request,simple_python_130,possible_oracle_artifact,alias_or_format_mismatch,8 percent represented as 8 instead of 0.08.,"What's the NPV (Net Present Value) of a series of cash flows: [-50000, 10000, 15000, 20000, 25000, 30000] discounted at 8% annually?",What's NPV (Net Present Value) series cash flows [-50000 10000 15000 20000 25000 30000] discounted 8% annually,"[{""finance_calculator.npv"": {""cash_flows"": [[-50000, 10000, 15000, 20000, 25000, 30000]], ""discount_rate"": [0.08], ""years"": ["""", []]}}]","[{""arguments"": {""cash_flows"": [-50000, 10000, 15000, 20000, 25000, 30000], ""discount_rate"": 0.08}, ""name"": ""finance_calculator.npv""}]","[{""arguments"": {""cash_flows"": [-50000, 10000, 15000, 20000, 25000, 30000], ""discount_rate"": 8}, ""name"": ""finance_calculator.npv""}]"
