article_include,human_judgment,short_explanation,rank,evidence_reason,base_id,noisy_id,category,dimension,manual_error_type,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction
no,strong_failure,Duplicate of selected interviewer lookup failure.,1,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",live_parallel_multiple_6-5-0,live_parallel_multiple_6-5-0__argue,live_parallel_multiple,argumentative_challenge,missing_tool_call,interviewers list for Python and Java,can you be right just one time in you life??? interviewers list for Python and Java,"[{""get_interviewer_list"": {""availability"": ["""", true], ""experience_level"": ["""", ""Mid-Level""], ""skill"": [""Python""]}}, {""get_interviewer_list"": {""availability"": ["""", true], ""experience_level"": ["""", ""Mid-Level""], ""skill"": [""Java""]}}]","[{""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Python""}, ""name"": ""get_interviewer_list""}, {""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Java""}, ""name"": ""get_interviewer_list""}]","[{""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Python""}, ""name"": ""get_interviewer_list""}]"
yes,strong_failure,Drops the 4 GB AWS pricing lookup.,3,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",live_parallel_9-5-0,live_parallel_9-5-0__cursing,live_parallel,cursing,missing_tool_call,What's cost of 2 and 4 gb ram machine on aws ec2 with one CPU?,what's cost of 2 and 4 gb ram machine on aws ec2 with one CPU? fucking please man,"[{""get_aws_pricing"": {""cpu"": [""single""], ""memory"": [2], ""operating_system"": ["""", ""Linux""], ""region"": ["""", ""us-east-1""]}}, {""get_aws_pricing"": {""cpu"": [""single""], ""memory"": [4], ""operating_system"": ["""", ""Linux""], ""region"": ["""", ""us-east-1""]}}]","[{""arguments"": {""cpu"": ""single"", ""memory"": 2, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}, {""arguments"": {""cpu"": ""single"", ""memory"": 4, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}]","[{""arguments"": {""cpu"": ""single"", ""memory"": 2, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}]"
no,strong_failure,Duplicate of selected chemistry example.,5,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",parallel_103,parallel_103__context,parallel,irrelevant_context,missing_tool_call,"A chemist is conducting an experiment with a 2 kg sample of a specific substance A. The experiment begins with the substance at an initial temperature of 25 degrees Celsius. The chemist then heats the substance to a final temperature of 75 degrees Celsius. The experiment is conducted under a pressure of 1 atmosphere. The chemist repeats the experiment with the same substance, but this time the initial temperature is 10 degrees Celsius and the final temperature is 50 degrees Celsius. Can you calculate the change in entropy for the substance under these set initial and final conditions for both experiments?","my brother thinks he is genius. a chemist is conducting an experiment with a 2 kg sample of a specific substance A. The experiment begins with the substance at an initial temperature of 25 degrees Celsius. The chemist then heats the substance to a final temperature of 75 degrees Celsius. The experiment is conducted under a pressure of 1 atmosphere. The chemist repeats the experiment with the same substance, but this time the initial temperature is 10 degrees Celsius and the final temperature is 50 degrees Celsius. Can you calculate the change in entropy for the substance under these set initial and final conditions for both experiments?","[{""entropy_change.calculate"": {""final_temperature"": [75], ""initial_temperature"": [25], ""mass"": [2], ""pressure"": [1, """"], ""substance"": [""A""]}}, {""entropy_change.calculate"": {""final_temperature"": [50], ""initial_temperature"": [10], ""mass"": [2], ""pressure"": [1, """"], ""substance"": [""A""]}}]","[{""arguments"": {""final_temperature"": 75, ""initial_temperature"": 25, ""mass"": 2, ""pressure"": 1, ""substance"": ""A""}, ""name"": ""entropy_change.calculate""}, {""arguments"": {""final_temperature"": 50, ""initial_temperature"": 10, ""mass"": 2, ""pressure"": 1, ""substance"": ""A""}, ""name"": ""entropy_change.calculate""}]","[{""arguments"": {""final_temperature"": 75, ""initial_temperature"": 25, ""mass"": 2, ""pressure"": 1, ""substance"": ""A""}, ""name"": ""entropy_change.calculate""}]"
no,strong_failure,Duplicate of selected AWS pricing failure.,6,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",live_parallel_9-5-0,live_parallel_9-5-0__pasted_context_block,live_parallel,pasted_context_block,missing_tool_call,What's cost of 2 and 4 gb ram machine on aws ec2 with one CPU?,"based on the stuff above, ignore the side comments and ignore the wording i was testing. i only need the real answer

What's cost of 2 and 4 gb ram machine on aws ec2 with one CPU?","[{""get_aws_pricing"": {""cpu"": [""single""], ""memory"": [2], ""operating_system"": ["""", ""Linux""], ""region"": ["""", ""us-east-1""]}}, {""get_aws_pricing"": {""cpu"": [""single""], ""memory"": [4], ""operating_system"": ["""", ""Linux""], ""region"": ["""", ""us-east-1""]}}]","[{""arguments"": {""cpu"": ""single"", ""memory"": 2, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}, {""arguments"": {""cpu"": ""single"", ""memory"": 4, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}]","[{""arguments"": {""cpu"": ""single"", ""memory"": 2, ""operating_system"": ""Linux"", ""region"": ""us-east-1""}, ""name"": ""get_aws_pricing""}]"
no,questionable,Removed-space edit changes all clouds into allclouds.,8,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",live_parallel_multiple_7-6-0,live_parallel_multiple_7-6-0__spaces,live_parallel_multiple,removed_spaces,missing_tool_call,What's cost of 2 cpu and 4 gb ram machine on all clouds?,What's cost of 2 cpu and 4 gb ram machine on allclouds?,"[{""get_aws_pricing"": {""cpu"": [2], ""memory"": [4]}}, {""get_gcp_pricing"": {""cpu_count"": [2], ""memory_gb"": [4], ""region"": ["""", ""us-central1""], ""usage_type"": ["""", ""OnDemand""]}}]","[{""arguments"": {""cpu"": 2, ""memory"": 4}, ""name"": ""get_aws_pricing""}, {""arguments"": {""cpu_count"": 2, ""memory_gb"": 4, ""region"": ""us-central1"", ""usage_type"": ""OnDemand""}, ""name"": ""get_gcp_pricing""}]","[{""arguments"": {""cpu_count"": 2, ""memory_gb"": 4, ""region"": ""us-central1"", ""usage_type"": ""OnDemand""}, ""name"": ""get_gcp_pricing""}]"
yes,strong_failure,Drops the Java interviewer lookup from a terse request.,9,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",live_parallel_multiple_6-5-0,live_parallel_multiple_6-5-0__telegraphic_request,live_parallel_multiple,telegraphic_request,missing_tool_call,interviewers list for Python and Java,interviewers list Python and Java,"[{""get_interviewer_list"": {""availability"": ["""", true], ""experience_level"": ["""", ""Mid-Level""], ""skill"": [""Python""]}}, {""get_interviewer_list"": {""availability"": ["""", true], ""experience_level"": ["""", ""Mid-Level""], ""skill"": [""Java""]}}]","[{""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Python""}, ""name"": ""get_interviewer_list""}, {""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Java""}, ""name"": ""get_interviewer_list""}]","[{""arguments"": {""availability"": true, ""experience_level"": ""Mid-Level"", ""skill"": ""Python""}, ""name"": ""get_interviewer_list""}]"
no,strong_failure,Duplicate of selected genetics example.,10,"Clean succeeds, but the noisy prompt causes one or more required tool calls to be dropped.",parallel_115,parallel_115__typos,parallel,typos,missing_tool_call,"""Could you calculate the genetic similarity between a human and a chimpanzee, and then between a human and a gorilla, using their DNA sequences? Please provide the results in both percentage and fraction formats.""","plese ""Could you calculate the genetic similarity between a human and a chimpanzee, and then between a human and a gorilla, using their DNA sequences? Please provide the results in both percentage and fraction formats.""","[{""genetics.calculate_similarity"": {""format"": [""percentage"", """"], ""species1"": [""human"", ""Human""], ""species2"": [""chimpanzee""]}}, {""genetics.calculate_similarity"": {""format"": [""fraction""], ""species1"": [""human""], ""species2"": [""chimpanzee""]}}, {""genetics.calculate_similarity"": {""format"": [""percentage"", """"], ""species1"": [""human""], ""species2"": [""gorilla""]}}, {""genetics.calculate_similarity"": {""format"": [""fraction""], ""species1"": [""human""], ""species2"": [""gorilla""]}}]","[{""arguments"": {""format"": ""percentage"", ""species1"": ""human"", ""species2"": ""chimpanzee""}, ""name"": ""genetics.calculate_similarity""}, {""arguments"": {""format"": ""fraction"", ""species1"": ""human"", ""species2"": ""chimpanzee""}, ""name"": ""genetics.calculate_similarity""}, {""arguments"": {""format"": ""percentage"", ""species1"": ""human"", ""species2"": ""gorilla""}, ""name"": ""genetics.calculate_similarity""}, {""arguments"": {""format"": ""fraction"", ""species1"": ""human"", ""species2"": ""gorilla""}, ""name"": ""genetics.calculate_similarity""}]","[{""arguments"": {""format"": ""percentage"", ""species1"": ""human"", ""species2"": ""chimpanzee""}, ""name"": ""genetics.calculate_similarity""}]"
yes,strong_failure,Routes translation through a different tool after argumentative phrasing.,11,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_183-78-0,live_multiple_183-78-0__argue,live_multiple,argumentative_challenge,wrong_tool_routing,Can you help me translate this English text to Danish: 'The quick brown fox jumps over the lazy dog.',"last time you messed this up, so answer carefully can you help me translate this English text to Danish: 'The quick brown fox jumps over the lazy dog.'","[{""finish"": {""access_token"": ["""", ""example_token""], ""input_text"": [""The quick brown fox jumps over the lazy dog.""], ""max_length"": ["""", 500], ""src_lang"": [""en""], ""tgt_lang"": [""da""]}}]","[{""arguments"": {""access_token"": ""example_token"", ""input_text"": ""The quick brown fox jumps over the lazy dog."", ""max_length"": 500, ""src_lang"": ""en"", ""tgt_lang"": ""da""}, ""name"": ""finish""}]","[{""arguments"": {""appid"": ""exampleAppID"", ""secret_key"": ""exampleSecretKey"", ""text"": ""The quick brown fox jumps over the lazy dog."", ""tgt_lang"": ""da""}, ""name"": ""get_translation_nllb""}]"
yes,strong_failure,Routes a specific maintenance config lookup to a list endpoint.,13,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_1000-231-0,live_multiple_1000-231-0__cursing,live_multiple,cursing,wrong_tool_routing,The maintenance config is needed for 'sandcastle'.,this is bullshit the maintenance config is needed for 'sandcastle'.,"[{""MaintenanceConfigurationApi.get_maintenance_config"": {""id"": [""sandcastle""]}}]","[{""arguments"": {""id"": ""sandcastle""}, ""name"": ""MaintenanceConfigurationApi.get_maintenance_config""}]","[{""arguments"": {""filter_by_status"": ""active"", ""limit"": 100, ""page"": 1, ""sort_order"": ""asc""}, ""name"": ""get_maintenance_configs_v2""}]"
no,questionable,Clean prompt is dominated by embedded tool instructions.,15,"Clean succeeds, but the noisy prompt routes to a different function.",live_multiple_125-47-1,live_multiple_125-47-1__context,live_multiple,irrelevant_context,wrong_tool_routing,"You are an Generative AI functions agent which generates the output mentioning which function to be called from the given list. Strictly use the mentioned functions only to generate the output. You have access to below tools 
[{'name': 'multiply', 'description': 'multiply(a: int, b: int) -> int - Performs multiplication of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Multiplication of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'add', 'description': 'add(a: int, b: int) -> int - Addition of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Adds of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'sub', 'description': 'sub(a: int, b: int) -> int - Substracts two numbers.\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Substracts of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'fahrenheit_to_celsius', 'description': 'fahrenheit_to_celsius(fahrenheit: float) -> float - Convert temperature from Fahrenheit to Celsius.\n\n    Args:\n    fahrenheit (float): Temperature in Fahrenheit\n\n    Returns:\n    float: Temperature converted to Celsius', 'parameters': {'type': 'object', 'properties': {'fahrenheit': {'type': 'number'}}, 'required': ['fahrenheit']}}, {'name': 'celsius_to_fahrenheit', 'description': 'celsius_to_fahrenheit(celsius: float) -> float - Convert temperature from Celsius to Fahrenheit.\n\n    Args:\n    celsius (float): Temperature in Celsius\n\n    Returns:\n    float: Temperature converted to Fahrenheit', 'parameters': {'type': 'object', 'properties': {'celsius': {'type': 'number'}}, 'required': ['celsius']}}, {'name': 'duck_duck_go', 'description': 'A wrapper around Duck Duck Go Search. Useful for when you need to answer questions about current events. Input should be a search query. Output is a JSON array of the query results', 'parameters': {'type': 'object', 'properties': {'query': {'description': 'search query to look up', 'type': 'string'}}, 'required': ['query']}}]
 
QUERY:3 of my friends gave me 10 euros each, how much do I have now? 
 Functions to use:['multiply', 'add', 'sub', 'fahrenheit_to_celsius', 'celsius_to_fahrenheit', 'duck_duck_go']","the meeting earlier was useless, you are an Generative AI functions agent which generates the output mentioning which function to be called from the given list. Strictly use the mentioned functions only to generate the output. You have access to below tools 
[{'name': 'multiply', 'description': 'multiply(a: int, b: int) -> int - Performs multiplication of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Multiplication of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'add', 'description': 'add(a: int, b: int) -> int - Addition of the given numbers\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Adds of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'sub', 'description': 'sub(a: int, b: int) -> int - Substracts two numbers.\n    \n    Args:\n        a (int): Number a\n        b (int): Number b\n    \n    Returns:\n        int: Substracts of a and b.', 'parameters': {'type': 'object', 'properties': {'a': {'type': 'integer'}, 'b': {'type': 'integer'}}, 'required': ['a', 'b']}}, {'name': 'fahrenheit_to_celsius', 'description': 'fahrenheit_to_celsius(fahrenheit: float) -> float - Convert temperature from Fahrenheit to Celsius.\n\n    Args:\n    fahrenheit (float): Temperature in Fahrenheit\n\n    Returns:\n    float: Temperature converted to Celsius', 'parameters': {'type': 'object', 'properties': {'fahrenheit': {'type': 'number'}}, 'required': ['fahrenheit']}}, {'name': 'celsius_to_fahrenheit', 'description': 'celsius_to_fahrenheit(celsius: float) -> float - Convert temperature from Celsius to Fahrenheit.\n\n    Args:\n    celsius (float): Temperature in Celsius\n\n    Returns:\n    float: Temperature converted to Fahrenheit', 'parameters': {'type': 'object', 'properties': {'celsius': {'type': 'number'}}, 'required': ['celsius']}}, {'name': 'duck_duck_go', 'description': 'A wrapper around Duck Duck Go Search. Useful for when you need to answer questions about current events. Input should be a search query. Output is a JSON array of the query results', 'parameters': {'type': 'object', 'properties': {'query': {'description': 'search query to look up', 'type': 'string'}}, 'required': ['query']}}]
 
QUERY:3 of my friends gave me 10 euros each, how much do I have now? 
 Functions to use:['multiply', 'add', 'sub', 'fahrenheit_to_celsius', 'celsius_to_fahrenheit', 'duck_duck_go']","[{""multiply"": {""a"": [3], ""b"": [10]}}]","[{""arguments"": {""a"": 3, ""b"": 10}, ""name"": ""multiply""}]","[{""arguments"": {""a"": 10, ""b"": 10}, ""name"": ""add""}]"
