dimension,manual_error_type,article_regression_count
argumentative_challenge,wrong_argument_value,29
argumentative_challenge,missing_tool_call,16
argumentative_challenge,wrong_tool_routing,9
cursing,wrong_argument_value,39
cursing,missing_tool_call,17
cursing,wrong_tool_routing,11
irrelevant_context,wrong_argument_value,36
irrelevant_context,missing_tool_call,14
irrelevant_context,wrong_tool_routing,7
irrelevant_context,extra_tool_call,1
pasted_context_block,missing_tool_call,35
pasted_context_block,wrong_argument_value,26
pasted_context_block,wrong_tool_routing,12
pasted_context_block,extra_tool_call,1
removed_spaces,wrong_argument_value,29
removed_spaces,wrong_tool_routing,6
removed_spaces,missing_tool_call,5
removed_spaces,extra_tool_call,1
telegraphic_request,wrong_argument_value,45
telegraphic_request,missing_tool_call,18
telegraphic_request,wrong_tool_routing,9
telegraphic_request,extra_tool_call,2
telegraphic_request,malformed_call,1
typos,wrong_argument_value,25
typos,missing_tool_call,10
typos,wrong_tool_routing,9
typos,argument_drop,1
