model,provider,tier,dimension,total,clean_accuracy,noisy_accuracy,absolute_degradation,clean_success_noisy_failure,clean_failure_noisy_success,net_regressions,mcnemar_exact_p
gpt-5.4-nano,openai,cheap,typos,2351,0.76095278604849,0.7579753296469588,0.002977456401531242,67,60,7,0.5946154859354996
gpt-5.4-nano,openai,cheap,cursing,2351,0.76095278604849,0.7443641003828159,0.016588685665674174,97,58,39,0.0021681266074654432
gpt-5.4-nano,openai,cheap,irrelevant_context,2351,0.76095278604849,0.749042960442365,0.01190982560612508,84,56,28,0.022154955980562125
gpt-5.4-nano,openai,cheap,removed_spaces,2351,0.76095278604849,0.7528711186729051,0.008081667375584911,76,57,19,0.11824011046975634
gpt-5.4-nano,openai,cheap,argumentative_challenge,2351,0.76095278604849,0.7507443641003828,0.010208421948107227,76,52,24,0.041638283839503194
gpt-5.4-nano,openai,cheap,pasted_context_block,2351,0.76095278604849,0.741811994895789,0.019140791152701064,96,51,45,0.0002572406347978065
gpt-5.4-nano,openai,cheap,telegraphic_request,2351,0.76095278604849,0.7464908549553382,0.014461931093151859,98,64,34,0.00930968587140373
claude-haiku-4-5-20251001,anthropic,mid,typos,2351,0.831561,0.830285,0.001276,12,9,3,0.6636238098144531
claude-haiku-4-5-20251001,anthropic,mid,cursing,2351,0.831561,0.823905,0.007656,30,12,18,0.007915897334896727
claude-haiku-4-5-20251001,anthropic,mid,irrelevant_context,2351,0.831561,0.825181,0.00638,29,14,15,0.03153949735315109
claude-haiku-4-5-20251001,anthropic,mid,removed_spaces,2351,0.831561,0.829434,0.002127,13,8,5,0.38331031799316406
claude-haiku-4-5-20251001,anthropic,mid,argumentative_challenge,2351,0.831561,0.826882,0.004679,23,12,11,0.0895310789346695
claude-haiku-4-5-20251001,anthropic,mid,pasted_context_block,2351,0.831561,0.83071,0.000851,26,24,2,0.887724827340783
claude-haiku-4-5-20251001,anthropic,mid,telegraphic_request,2351,0.831561,0.817099,0.014462,51,17,34,4.453448771493584e-05
z-ai/glm-4.6,openrouter,strong-open,typos,2351,0.8451722671203743,0.8396427052318163,0.005529561888558021,49,36,13,0.19276043534155876
z-ai/glm-4.6,openrouter,strong-open,cursing,2351,0.8451722671203743,0.8311356869417269,0.014036580178647395,76,43,33,0.0031831844482176504
z-ai/glm-4.6,openrouter,strong-open,irrelevant_context,2351,0.8451722671203743,0.8383666524883029,0.006805614632071411,52,36,16,0.10929542977731425
z-ai/glm-4.6,openrouter,strong-open,removed_spaces,2351,0.8451722671203743,0.8387920034028074,0.0063802637175669474,48,33,15,0.11927366831176445
z-ai/glm-4.6,openrouter,strong-open,argumentative_challenge,2351,0.8451722671203743,0.836665248830285,0.008507018290089263,60,40,20,0.05688793364098079
z-ai/glm-4.6,openrouter,strong-open,pasted_context_block,2351,0.8451722671203743,0.8434708634623564,0.0017014036580178526,46,42,4,0.7493290032022806
z-ai/glm-4.6,openrouter,strong-open,telegraphic_request,2351,0.8451722671203743,0.82475542322416,0.020416843896214343,86,38,48,1.9451913271625694e-05
