review_label,artifact_type,notes,model,provider,dimension,base_id,noisy_id,category,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction,clean_names,noisy_names,error_type,error,completion_tokens,reasoning_tokens
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_130,simple_python_130__telegraphic_request,simple_python,"What's the NPV (Net Present Value) of a series of cash flows: [-50000, 10000, 15000, 20000, 25000, 30000] discounted at 8% annually?",What's NPV (Net Present Value) series cash flows [-50000 10000 15000 20000 25000 30000] discounted 8% annually,"[{""finance_calculator.npv"": {""cash_flows"": [[-50000, 10000, 15000, 20000, 25000, 30000]], ""discount_rate"": [0.08], ""years"": ["""", []]}}]","[{""arguments"": {""cash_flows"": [-50000, 10000, 15000, 20000, 25000, 30000], ""discount_rate"": 0.08}, ""name"": ""finance_calculator.npv""}]","[{""arguments"": {""cash_flows"": [-50000, 10000, 15000, 20000, 25000, 30000], ""discount_rate"": 8}, ""name"": ""finance_calculator.npv""}]",finance_calculator.npv,finance_calculator.npv,value_error:others,Invalid value for parameter 'discount_rate': 8.0. Expected one of [0.08].,,
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_200,simple_python_200__telegraphic_request,simple_python,"How much CO2 is produced annually by a gas-fueled car that travels 12,000 miles per year, with fuel efficiency of 25 MPG ?",much CO2 produced annually by gas-fueled car that travels 12 000 miles per year fuel efficiency 25 MPG,"[{""calculate_emissions"": {""distance"": [12000], ""efficiency_reduction"": [0, """"], ""fuel_efficiency"": ["""", 25.0], ""fuel_type"": [""gas""]}}]","[{""arguments"": {""distance"": 12000, ""fuel_efficiency"": 25, ""fuel_type"": ""gas""}, ""name"": ""calculate_emissions""}]","[{""arguments"": {""distance"": 12000, ""fuel_efficiency"": 25, ""fuel_type"": ""gasoline""}, ""name"": ""calculate_emissions""}]",calculate_emissions,calculate_emissions,value_error:string,Invalid value for parameter 'fuel_type': 'gasoline'. Expected one of ['gas']. Case insensitive.,,
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_201,simple_python_201__telegraphic_request,simple_python,Estimate the population of pandas in the wild in China.,Estimate population pandas in wild in China.,"[{""estimate_population"": {""country"": [""China"", ""CN""], ""species"": [""panda"", ""pandas""], ""year"": ["""", 2024]}}]","[{""arguments"": {""country"": ""China"", ""species"": ""panda""}, ""name"": ""estimate_population""}]","[{""arguments"": {""country"": ""China"", ""species"": ""giant panda""}, ""name"": ""estimate_population""}]",estimate_population,estimate_population,value_error:string,"Invalid value for parameter 'species': 'giant panda'. Expected one of ['panda', 'pandas']. Case insensitive.",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_249,simple_python_249__telegraphic_request,simple_python,Tell me more about Christianity and its history till the 14th century,Tell more Christianity and its history till 14th century,"[{""religion.history_info"": {""include_people"": [false, """"], ""religion"": [""Christianity""], ""till_century"": [14]}}]","[{""arguments"": {""religion"": ""Christianity"", ""till_century"": 14}, ""name"": ""religion.history_info""}]","[{""arguments"": {""include_people"": true, ""religion"": ""Christianity"", ""till_century"": 14}, ""name"": ""religion.history_info""}]",religion.history_info,religion.history_info,value_error:others,"Invalid value for parameter 'include_people': True. Expected one of [False, ''].",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_367,simple_python_367__telegraphic_request,simple_python,Find me a vegan recipe for brownies which prep time is under 30 minutes.,Find vegan recipe brownies prep time under 30 minutes.,"[{""find_recipe"": {""dietary_restrictions"": [""vegan""], ""recipe_type"": [""dessert""], ""time"": [30]}}]","[{""arguments"": {""dietary_restrictions"": ""vegan"", ""recipe_type"": ""dessert"", ""time"": 30}, ""name"": ""find_recipe""}]","[{""arguments"": {""dietary_restrictions"": ""vegan"", ""recipe_type"": ""brownies"", ""time"": 30}, ""name"": ""find_recipe""}]",find_recipe,find_recipe,value_error:string,Invalid value for parameter 'recipe_type': 'brownies'. Expected one of ['dessert']. Case insensitive.,,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_370,simple_python_370__telegraphic_request,simple_python,Order three bottles of olive oil and a five pound bag of rice from Safeway in Palo Alto.,Order three bottles olive oil and five pound bag of rice from Safeway in Palo Alto.,"[{""safeway.order"": {""items"": [[""olive oil"", ""rice""], [""olive oil"", ""bag of rice""]], ""location"": [""Palo Alto"", ""Palo Alto, CA""], ""quantity"": [[3, 1]]}}]","[{""arguments"": {""items"": [""olive oil"", ""rice""], ""location"": ""Palo Alto, CA"", ""quantity"": [3, 1]}, ""name"": ""safeway.order""}]","[{""arguments"": {""items"": [""olive oil"", ""rice""], ""location"": ""Palo Alto, CA"", ""quantity"": [3, 5]}, ""name"": ""safeway.order""}]",safeway.order,safeway.order,value_error:list/tuple,"Invalid value for parameter 'quantity': [3, 5]. Expected one of [[3, 1]].",,
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,simple_python_386,simple_python_386__telegraphic_request,simple_python,"Book a luxury room in Hotel Paradise, Las Vegas, with a city view for 3 days starting from May 12, 2022.","Book luxury room in Hotel Paradise Las Vegas city view 3 days starting from May 12, 2022.","[{""book_hotel"": {""hotel_name"": [""Hotel Paradise""], ""location"": [""Las Vegas"", ""LV""], ""room_type"": [""luxury"", ""Luxury""], ""start_date"": [""05-12-2022"", ""2022-05-12"", ""12/05/2022"", ""May.12,2022"", ""May 12, 2022""], ""stay_duration"": [3], ""view"": [""city view"", ""city""]}}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""luxury"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""city view""}, ""name"": ""book_hotel""}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""luxury room"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""city view""}, ""name"": ""book_hotel""}]",book_hotel,book_hotel,value_error:string,"Invalid value for parameter 'room_type': 'luxury room'. Expected one of ['luxury', 'Luxury']. Case insensitive.",,
true_model_failure,missing_or_extra_tool_call,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,multiple_24,multiple_24__telegraphic_request,multiple,What is the fastest route from London to Edinburgh for playing a chess championship? Also provide an estimate of the distance.,fastest route from London Edinburgh playing chess championship Also provide estimate distance.,"[{""route_planner.calculate_route"": {""destination"": [""Edinburgh""], ""method"": [""fastest"", """"], ""start"": [""London""]}}]","[{""arguments"": {""destination"": ""Edinburgh"", ""method"": ""fastest"", ""start"": ""London""}, ""name"": ""route_planner.calculate_route""}]","[{""arguments"": {""destination"": ""Edinburgh"", ""method"": ""fastest"", ""start"": ""London""}, ""name"": ""route_planner.calculate_route""}, {""arguments"": {""city"": ""Edinburgh"", ""event"": ""chess championship"", ""name"": ""chess championship""}, ""name"": ""chess_club_details.find""}]",route_planner.calculate_route,route_planner.calculate_route|chess_club_details.find,multiple_function_checker:wrong_count,Wrong number of functions.,,
possible_oracle_artifact,alias_or_format_mismatch,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,multiple_93,multiple_93__telegraphic_request,multiple,Book a deluxe room for 2 nights at the Marriott hotel in New York and add breakfast as an extra service,Book deluxe room 2 nights Marriott hotel in New York and add breakfast extra service,"[{""hotel.book"": {""additional_services"": [[""breakfast""]], ""location"": [""New York"", ""New York, NY"", ""NYC""], ""nights"": [2], ""roomType"": [""deluxe"", ""Deluxe""]}}]","[{""arguments"": {""additional_services"": [""breakfast""], ""location"": ""New York"", ""nights"": 2, ""roomType"": ""deluxe""}, ""name"": ""hotel.book""}]","[{""arguments"": {""additional_services"": [""breakfast""], ""location"": ""New York"", ""nights"": 2, ""roomType"": ""deluxe room""}, ""name"": ""hotel.book""}]",hotel.book,hotel.book,value_error:string,"Invalid value for parameter 'roomType': 'deluxe room'. Expected one of ['deluxe', 'Deluxe']. Case insensitive.",,
true_model_failure,wrong_argument_value,,claude-haiku-4-5-20251001,anthropic,telegraphic_request,multiple_186,multiple_186__telegraphic_request,multiple,Find me a vegan recipe for brownies which prep time is under 30 minutes.,Find vegan recipe brownies prep time under 30 minutes.,"[{""find_recipe"": {""dietary_restrictions"": [""vegan""], ""recipe_type"": [""dessert""], ""time"": [30]}}]","[{""arguments"": {""dietary_restrictions"": ""vegan"", ""recipe_type"": ""dessert"", ""time"": 30}, ""name"": ""find_recipe""}]","[{""arguments"": {""dietary_restrictions"": ""vegan"", ""recipe_type"": ""brownies"", ""time"": 30}, ""name"": ""find_recipe""}]",find_recipe,find_recipe,value_error:string,Invalid value for parameter 'recipe_type': 'brownies'. Expected one of ['dessert']. Case insensitive.,,
