model,evaluation_run_id,evaluation_run_role,pool_size,repeat_index,dimension,clean_correct_noisy_wrong,true_model_failure,possible_oracle_artifact,uncertain
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,23,7,16,0
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,cursing,30,14,16,0
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,irrelevant_context,29,13,16,0
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,pasted_context_block,26,12,14,0
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,removed_spaces,13,7,6,0
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,telegraphic_request,51,24,27,0
claude-haiku-4-5-20251001,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,typos,12,3,9,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,argumentative_challenge,87,61,26,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,cursing,112,67,45,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,irrelevant_context,83,50,33,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,pasted_context_block,111,75,36,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,removed_spaces,65,35,30,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,telegraphic_request,96,64,32,0
gpt-5.4-nano,gpt54nano_full_pool_repeat2,full_pool_row_trace_repeat,2351,2,typos,67,35,32,0
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,60,37,23,0
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,cursing,76,41,35,0
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,irrelevant_context,52,29,23,0
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,pasted_context_block,46,20,25,1
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,removed_spaces,48,24,24,0
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,telegraphic_request,86,57,29,0
z-ai/glm-4.6,glm46_deepinfra_cap1024_full_pool,primary_full_pool_row_trace,2351,,typos,49,29,20,0
