model,dimension,n_pairs,clean_acc,noisy_acc,degradation,b,c,n_discordant,ci_low,ci_high,p_value,p_adjusted,significant
claude-haiku-4-5-20251001,argumentative_challenge,2351,0.8315610378562314,0.8268821777966823,0.004678860059549128,23,12,35,0.0,0.009783071033602722,0.0895310789346696,0.3581243157386784,False
claude-haiku-4-5-20251001,cursing,2351,0.8315610378562314,0.823904721395151,0.0076563164610803916,30,12,42,0.002552105487026797,0.013185878349638452,0.00791589733489685,0.047495384009381095,True
claude-haiku-4-5-20251001,irrelevant_context,2351,0.8315610378562314,0.8251807741386644,0.0063802637175669925,29,14,43,0.0008507018290089324,0.011909825606125054,0.03153949735315145,0.15769748676575726,False
claude-haiku-4-5-20251001,pasted_context_block,2351,0.8315610378562314,0.8307103360272224,0.0008507018290089324,26,24,50,-0.005104210974053594,0.006805614632071459,0.8877248273407994,1.0,False
claude-haiku-4-5-20251001,removed_spaces,2351,0.8315610378562314,0.829434283283709,0.002126754572522331,13,8,21,-0.0017014036580178648,0.005954912803062527,0.3833103179931644,1.0,False
claude-haiku-4-5-20251001,telegraphic_request,2351,0.8315610378562314,0.8170991067630795,0.01446193109315185,51,17,68,0.0076563164610803916,0.02126754572522331,4.453448771493538e-05,0.00031174141400454764,True
claude-haiku-4-5-20251001,typos,2351,0.8315610378562314,0.830284985112718,0.0012760527435133986,12,9,21,-0.002552105487026797,0.005104210974053594,0.6636238098144555,1.0,False
gpt-5.4-nano,argumentative_challenge,2351,0.76095278604849,0.7507443641003828,0.010208421948107189,76,52,128,0.0008507018290089324,0.019566142067205444,0.041638283839503194,0.12491485151850959,False
gpt-5.4-nano,cursing,2351,0.76095278604849,0.7443641003828159,0.01658868566567418,97,58,155,0.0063802637175669925,0.02679710761378137,0.0021681266074654432,0.013008759644792658,True
gpt-5.4-nano,irrelevant_context,2351,0.76095278604849,0.749042960442365,0.011909825606125054,84,56,140,0.002126754572522331,0.02211824755423224,0.022154955980562125,0.0886198239222485,False
gpt-5.4-nano,pasted_context_block,2351,0.76095278604849,0.741811994895789,0.019140791152700978,96,51,147,0.009357720119098255,0.029349213100808166,0.0002572406347978065,0.0018006844435846455,True
gpt-5.4-nano,removed_spaces,2351,0.76095278604849,0.7528711186729051,0.008081667375584857,76,57,133,-0.0012760527435133986,0.01786473840918758,0.11824011046975634,0.23648022093951268,False
gpt-5.4-nano,telegraphic_request,2351,0.76095278604849,0.7464908549553382,0.01446193109315185,98,64,162,0.0038281582305401958,0.025095703955763504,0.00930968587140373,0.04654842935701865,True
gpt-5.4-nano,typos,2351,0.76095278604849,0.7579753296469588,0.0029774564015312634,67,60,127,-0.0063802637175669925,0.01233517652062952,0.5946154859354996,0.5946154859354996,False
z-ai/glm-4.6,argumentative_challenge,2351,0.8451722671203743,0.836665248830285,0.008507018290089324,60,40,100,0.0004253509145044662,0.017014036580178648,0.05688793364097921,0.284439668204896,False
z-ai/glm-4.6,cursing,2351,0.8451722671203743,0.8311356869417269,0.014036580178647383,76,43,119,0.005104210974053594,0.022968949383241174,0.0031831844482177333,0.0190991066893064,True
z-ai/glm-4.6,irrelevant_context,2351,0.8451722671203743,0.8383666524883029,0.006805614632071459,52,36,88,-0.0008507018290089324,0.014887282007656316,0.10929542977731692,0.4371817191092677,False
z-ai/glm-4.6,pasted_context_block,2351,0.8451722671203743,0.8434708634623564,0.0017014036580178648,46,42,88,-0.005954912803062527,0.009357720119098255,0.7493290032023093,0.7493290032023093,False
z-ai/glm-4.6,removed_spaces,2351,0.8451722671203743,0.8387920034028074,0.0063802637175669925,48,33,81,-0.0012760527435133986,0.014036580178647383,0.11927366831176296,0.4371817191092677,False
z-ai/glm-4.6,telegraphic_request,2351,0.8451722671203743,0.82475542322416,0.020416843896214378,86,38,124,0.011484474691620587,0.029774564015312633,1.9451913271625707e-05,0.00013616339290137996,True
z-ai/glm-4.6,typos,2351,0.8451722671203743,0.8396427052318163,0.00552956188855806,49,36,85,-0.002126754572522331,0.013185878349638452,0.19276043534155446,0.4371817191092677,False
