review_status,manual_error_type,oracle_issue,augmentation_issue,baseline_dataset_issue,notes,base_id,noisy_id,category,dimension,heuristic_error_type,clean_prompt,noisy_prompt,gold,clean_prediction,noisy_prediction
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_262,simple_python_262__typos,simple_python,typos,argument_value_error,Change my painting's medium to oil and change size to 12x18 with red dominant color.,plese change my painting's medium to oil and change size to 12x18 with red dominant color.,"[{""modify_painting"": {""dominant_color"": [""red""], ""medium"": [""oil""], ""size"": [""12x18""]}}]","[{""arguments"": {""dominant_color"": ""red"", ""medium"": ""oil"", ""size"": ""12x18""}, ""name"": ""modify_painting""}]","[{""arguments"": {""dominant_color"": ""red"", ""medium"": ""oil"", ""size"": ""12x18 inches""}, ""name"": ""modify_painting""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_280,simple_python_280__typos,simple_python,typos,argument_value_error,Find an acoustic instrument within my budget of $1000.,plese find an acoustic instrument within my budget of $1000.,"[{""find_instrument"": {""budget"": [1000], ""make"": [""""], ""type"": [""acoustic""]}}]","[{""arguments"": {""budget"": 1000, ""make"": """", ""type"": ""acoustic""}, ""name"": ""find_instrument""}]","[{""arguments"": {""budget"": 1000, ""make"": """", ""type"": ""acoustic instrument""}, ""name"": ""find_instrument""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_283,simple_python_283__typos,simple_python,typos,argument_value_error,Find the price of a used Gibson Les Paul guitar in excellent condition in the Chicago area.,Find the price of a used Gibson Les Paul guitar in excellent condition in the Chicago aera.,"[{""guitar_price.find"": {""condition"": [""Excellent""], ""location"": [""Chicago"", ""Chicago, IL"", ""Chicago, Illinois""], ""model"": [""Gibson Les Paul""]}}]","[{""arguments"": {""condition"": ""Excellent"", ""location"": ""Chicago, IL"", ""model"": ""Gibson Les Paul""}, ""name"": ""guitar_price.find""}]","[{""arguments"": {""condition"": ""Excellent"", ""location"": ""Chicago area"", ""model"": ""Gibson Les Paul""}, ""name"": ""guitar_price.find""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_364,simple_python_364__typos,simple_python,typos,argument_value_error,Can I find an Italian restaurant with Gluten-free options near Brooklyn?,plese can I find an Italian restaurant with Gluten-free options near Brooklyn?,"[{""find_restaurant"": {""diet_option"": [""Gluten-free""], ""location"": [""Brooklyn"", ""Brooklyn, NY""], ""type"": [""Italian""]}}]","[{""arguments"": {""diet_option"": ""Gluten-free"", ""location"": ""Brooklyn, NY"", ""type"": ""Italian""}, ""name"": ""find_restaurant""}]","[{""arguments"": {""diet_option"": ""Gluten-free options"", ""location"": ""Brooklyn"", ""type"": ""Italian""}, ""name"": ""find_restaurant""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,simple_python_382,simple_python_382__typos,simple_python,typos,argument_value_error,"Book a single room for two nights at the Hilton Hotel in Chicago, starting from 10th December 2022.","plese book a single room for two nights at the Hilton Hotel in Chicago, starting from 10th December 2022.","[{""book_hotel"": {""hotel_name"": [""Hilton Hotel"", ""Hilton""], ""location"": [""Chicago""], ""nights"": [2], ""room_type"": [""single""], ""start_date"": [""2022-12-10"", ""10/12/2022"", ""Dec 10, 2022"", ""December 10, 2022""]}}]","[{""arguments"": {""hotel_name"": ""Hilton Hotel"", ""location"": ""Chicago"", ""nights"": 2, ""room_type"": ""single"", ""start_date"": ""2022-12-10""}, ""name"": ""book_hotel""}]","[{""arguments"": {""hotel_name"": ""Hilton Hotel"", ""location"": ""Chicago"", ""nights"": 2, ""room_type"": ""single room"", ""start_date"": ""2022-12-10""}, ""name"": ""book_hotel""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,multiple_43,multiple_43__typos,multiple,typos,argument_value_error,What is the energy produced by 5 mol of glucose (C6H12O6)?,wat is the energy produced by 5 mol of glucose (C6H12O6)?,"[{""biological.calc_energy"": {""joules_per_mol"": [2800, """"], ""mols"": [5], ""substance"": [""C6H12O6""]}}]","[{""arguments"": {""joules_per_mol"": 2800, ""mols"": 5, ""substance"": ""C6H12O6""}, ""name"": ""biological.calc_energy""}]","[{""arguments"": {""joules_per_mol"": 2800, ""mols"": 5, ""substance"": ""glucose (C6H12O6)""}, ""name"": ""biological.calc_energy""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,multiple_191,multiple_191__typos,multiple,typos,argument_value_error,"Book a luxury room in Hotel Paradise, Las Vegas, with a city view for 3 days starting from May 12, 2022.","plese book a luxury room in Hotel Paradise, Las Vegas, with a city view for 3 days starting from May 12, 2022.","[{""book_hotel"": {""hotel_name"": [""Hotel Paradise""], ""location"": [""Las Vegas"", ""Las Vegas, NV"", ""LV""], ""room_type"": [""luxury"", ""Luxury""], ""start_date"": [""05-12-2022"", ""2022-05-12"", ""12/05/2022"", ""May.12,2022"", ""May 12, 2022""], ""stay_duration"": [3], ""view"": [""city"", ""city view""]}}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""Luxury"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""City view""}, ""name"": ""book_hotel""}]","[{""arguments"": {""hotel_name"": ""Hotel Paradise"", ""location"": ""Las Vegas"", ""room_type"": ""Luxury room"", ""start_date"": ""05-12-2022"", ""stay_duration"": 3, ""view"": ""City view""}, ""name"": ""book_hotel""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,parallel_38,parallel_38__typos,parallel,typos,argument_value_error,"What's the driving distance between New York and Washington DC, and between Los Angeles and San Francisco with optional parameter shortest route enabled?","wat's the driving distnace between New York and Washington DC, and between Los Angeles and San Francisco with optional parameter shortest route enabled?","[{""calc_distance"": {""end_loc"": [""Washington DC"", ""Washington D.C.""], ""shortest_route"": [true], ""start_loc"": [""New York"", ""New York, NY"", ""New York City"", ""NYC""]}}, {""calc_distance"": {""end_loc"": [""San Francisco"", ""SF""], ""shortest_route"": [true], ""start_loc"": [""Los Angeles"", ""Los Angeles, CA"", ""LA""]}}]","[{""arguments"": {""end_loc"": ""Washington DC"", ""shortest_route"": true, ""start_loc"": ""New York""}, ""name"": ""calc_distance""}, {""arguments"": {""end_loc"": ""San Francisco"", ""shortest_route"": true, ""start_loc"": ""Los Angeles""}, ""name"": ""calc_distance""}]","[{""arguments"": {""end_loc"": ""Washington, DC"", ""shortest_route"": true, ""start_loc"": ""New York, NY""}, ""name"": ""calc_distance""}, {""arguments"": {""end_loc"": ""San Francisco, CA"", ""shortest_route"": true, ""start_loc"": ""Los Angeles, CA""}, ""name"": ""calc_distance""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,parallel_multiple_42,parallel_multiple_42__typos,parallel_multiple,typos,argument_value_error,"Find me a bronze statue in the Modern Arts Museum in New York and a stone sculpture in the Louvre Museum in Paris. Also, find me a painting made by Picasso in the Metropolitan Museum of Art.","plese find me a bronze statue in the Modern Arts Museum in New York and a stone sculpture in the Louvre Museum in Paris. Also, find me a painting made by Picasso in the Metropolitan Museum of Art.","[{""artwork.find"": {""artist"": [""""], ""material"": [""bronze"", ""Bronze""], ""museum"": [""Modern Arts Museum, New York"", ""Modern Arts Museum""], ""type"": [""sculpture"", ""Sculpture""]}}, {""artwork.find"": {""artist"": [""""], ""material"": [""stone"", ""Stone""], ""museum"": [""Louvre Museum, Paris"", ""Louvre Museum"", ""Paris""], ""type"": [""sculpture"", ""Sculpture""]}}, {""artwork.find"": {""artist"": [""Picasso""], ""material"": [""""], ""museum"": [""Metropolitan Museum of Art"", ""Metropolitan Museum""], ""type"": [""painting""]}}]","[{""arguments"": {""artist"": """", ""material"": ""Bronze"", ""museum"": ""Modern Arts Museum, New York"", ""type"": ""Sculpture""}, ""name"": ""artwork.find""}, {""arguments"": {""artist"": """", ""material"": ""Stone"", ""museum"": ""Louvre Museum, Paris"", ""type"": ""Sculpture""}, ""name"": ""artwork.find""}, {""arguments"": {""artist"": ""Picasso"", ""material"": """", ""museum"": ""Metropolitan Museum of Art"", ""type"": ""Painting""}, ""name"": ""artwork.find""}]","[{""arguments"": {""artist"": """", ""material"": ""Bronze"", ""museum"": ""Modern Arts Museum, New York"", ""type"": ""Sculpture""}, ""name"": ""artwork.find""}, {""arguments"": {""artist"": """", ""material"": ""Stone"", ""museum"": ""Louvre Museum, Paris"", ""type"": ""Sculpture""}, ""name"": ""artwork.find""}, {""arguments"": {""artist"": ""Picasso"", ""material"": """", ""museum"": ""Metropolitan Museum of Art, New York"", ""type"": ""Painting""}, ""name"": ""artwork.find""}]"
labeled_v1,entity_or_alias_normalization_mismatch,possible,no,no,Noisy prediction appears semantically close but uses a different alias or formatting than accepted gold.,parallel_multiple_115,parallel_multiple_115__typos,parallel_multiple,typos,argument_value_error,"""Can you help me plan my trip to New York? I would like to visit a modern art installation, a park with a playground and a picnic area, and a popular monument. Could you find these for me?""","plese ""Can you help me plan my trip to New York? I would like to visit a modern art installation, a park with a playground and a picnic area, and a popular monument. Could you find these for me?""","[{""artwork_search.find"": {""era"": [""modern"", """"], ""location"": [""New York"", ""NY""], ""type"": [""installation""]}}, {""park_search.find"": {""facilities"": [[""playground"", ""picnic area""]], ""location"": [""New York"", ""NY""]}}, {""tourist_attraction.find"": {""attractionType"": [""monument""], ""location"": [""New York"", ""NY""]}}]","[{""arguments"": {""era"": ""modern"", ""location"": ""New York"", ""type"": ""installation""}, ""name"": ""artwork_search.find""}, {""arguments"": {""facilities"": [""playground"", ""picnic area""], ""location"": ""New York""}, ""name"": ""park_search.find""}, {""arguments"": {""attractionType"": ""monument"", ""location"": ""New York""}, ""name"": ""tourist_attraction.find""}]","[{""arguments"": {""era"": ""modern"", ""location"": ""New York"", ""type"": ""installation""}, ""name"": ""artwork_search.find""}, {""arguments"": {""facilities"": [""playground"", ""picnic area""], ""location"": ""New York""}, ""name"": ""park_search.find""}, {""arguments"": {""attractionType"": ""popular monument"", ""location"": ""New York""}, ""name"": ""tourist_attraction.find""}]"
