row_id,model,provider,evaluation_run_id,evaluation_run_role,pool_size,repeat_index,dimension,base_id,noisy_id,category,review_status,review_scope,review_label,screened_failure_type,review_notes,clean_prompt,noisy_prompt,expected_tool_calls,expected_function_names,clean_model_calls,clean_model_call_names,noisy_model_calls,noisy_model_call_names,noisy_eval_error_type,noisy_eval_error,noisy_completion_tokens_if_available,clean_provider_response_id,noisy_provider_response_id
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_multiple_1002-232-1,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_multiple_1002-232-1,live_multiple_1002-232-1__argue,live_multiple,reviewed,full_clean_to_noisy_trace_review,true_model_failure,missing_or_extra_tool_call,Noisy call adds an unrelated shareable-token API call; clean intent is preserved.,"I forgot all the API tokens, can you remind me of them? My user ID is ""user123""","you keep getting everything wrong. i forgot all the API tokens, can you remind me of them? My user ID is ""user123""","[{""api_token_api.APITokenApi.get_api_tokens"": {""include_expired"": ["""", false], ""user_id"": [""user123""]}}]",api_token_api.APITokenApi.get_api_tokens,"[{""arguments"": {""user_id"": ""user123""}, ""name"": ""api_token_api.APITokenApi.get_api_tokens""}]",api_token_api.APITokenApi.get_api_tokens,"[{""arguments"": {""user_id"": ""user123""}, ""name"": ""api_token_api.APITokenApi.get_api_tokens""}, {""arguments"": {""user_id"": ""user123""}, ""name"": ""CustomDashboardsApi.get_shareable_api_tokens""}]",api_token_api.APITokenApi.get_api_tokens;CustomDashboardsApi.get_shareable_api_tokens,multiple_function_checker:wrong_count,"[""Wrong number of functions.""]",108,msg_014B6DGsML1aX4eEEgF44nDp,msg_01DTLWCWMCymGGqUsJeEp74c
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_multiple_1023-252-0,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_multiple_1023-252-0,live_multiple_1023-252-0__argue,live_multiple,reviewed,full_clean_to_noisy_trace_review,true_model_failure,missing_or_extra_tool_call,Noisy call adds a second version API call not requested.,What API version is Instana using? Today is Tuesday.,"last time you messed this up, so answer carefully what API version is Instana using? Today is Tuesday.","[{""version_api.VersionApi.get_version"": {}}]",version_api.VersionApi.get_version,"[{""arguments"": {}, ""name"": ""version_api.VersionApi.get_version""}]",version_api.VersionApi.get_version,"[{""arguments"": {}, ""name"": ""version_api.VersionApi.get_version""}, {""arguments"": {}, ""name"": ""health_api.HealthApi.get_version""}]",version_api.VersionApi.get_version;health_api.HealthApi.get_version,multiple_function_checker:wrong_count,"[""Wrong number of functions.""]",60,msg_01KCQ4MUWAcgxAZJMd1xyDuj,msg_0155SwGEZQMr6jxwqXuvPzro
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_multiple_1042-269-0,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_multiple_1042-269-0,live_multiple_1042-269-0__argue,live_multiple,reviewed,full_clean_to_noisy_trace_review,possible_oracle_artifact,alias_or_format_mismatch,"Second-pass artifact audit: City suffix Portland, OR is a semantic alias for Portland; evaluator is too strict.","Please inform me about the weather in Portland on April 5th, 2023?","i don't trust your first answer, but please inform me about the weather in Portland on April 5th, 2023?","[{""Weather_1_GetWeather"": {""city"": [""Portland""], ""date"": [""2023-04-05""]}}]",Weather_1_GetWeather,"[{""arguments"": {""city"": ""Portland"", ""date"": ""2023-04-05""}, ""name"": ""Weather_1_GetWeather""}]",Weather_1_GetWeather,"[{""arguments"": {""city"": ""Portland, OR"", ""date"": ""2023-04-05""}, ""name"": ""Weather_1_GetWeather""}]",Weather_1_GetWeather,value_error:string,"[""Invalid value for parameter 'city': 'Portland, OR'. Expected one of ['Portland']. Case insensitive.""]",68,msg_01DW9CKEDuRkYcqVtroD4aK3,msg_01TxHAdn2uCg8DnRFn4pkW7N
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_multiple_197-89-0,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_multiple_197-89-0,live_multiple_197-89-0__argue,live_multiple,reviewed,full_clean_to_noisy_trace_review,possible_oracle_artifact,alias_or_format_mismatch,Second-pass artifact audit: Customer name is translated from Chinese to Adidas; alias/locale strictness.,获取阿迪达斯的p4工单,"prove you can actually do this, 获取阿迪达斯的p4工单","[{""get_tickets"": {""customer"": [""阿迪达斯""], ""priority"": [4]}}]",get_tickets,"[{""arguments"": {""customer"": ""阿迪达斯"", ""priority"": 4}, ""name"": ""get_tickets""}]",get_tickets,"[{""arguments"": {""customer"": ""Adidas"", ""priority"": 4}, ""name"": ""get_tickets""}]",get_tickets,value_error:string,"[""Invalid value for parameter 'customer': 'Adidas'. Expected one of ['阿迪达斯']. Case insensitive.""]",59,msg_01EeJUeng1xYSAMYZ4tdER2d,msg_013VSWhMmBowfRekuBfuECVW
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_multiple_215-91-9,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_multiple_215-91-9,live_multiple_215-91-9__argue,live_multiple,reviewed,full_clean_to_noisy_trace_review,possible_oracle_artifact,optional_argument_strictness,Second-pass artifact audit: Noisy call omits include flags but preserves the person_id professional-experience lookup.,"Can you provide me with a list of Adriel's professional experiences, id is 1234?","prove you can actually do this, can you provide me with a list of Adriel's professional experiences, id is 1234?","[{""experiences_and_education"": {""include_education"": [false], ""include_experiences"": ["""", true], ""person_id"": [""1234""], ""years_experience"": ["""", 0]}}]",experiences_and_education,"[{""arguments"": {""include_education"": false, ""include_experiences"": true, ""person_id"": ""1234""}, ""name"": ""experiences_and_education""}]",experiences_and_education,"[{""arguments"": {""person_id"": ""1234""}, ""name"": ""experiences_and_education""}]",experiences_and_education,simple_function_checker:missing_optional,"[""Optional parameter 'include_education' not provided and not marked as optional.""]",45,msg_01LTuCedELZQnUJNYBFVBnFF,msg_01W5R8Drk1LiWjiE8eXD8dx6
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_multiple_433-141-22,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_multiple_433-141-22,live_multiple_433-141-22__argue,live_multiple,reviewed,full_clean_to_noisy_trace_review,true_model_failure,missing_or_extra_tool_call,Noisy output splits one theater name into two separate searches.,Search for me movies shown in Napa.I would like to watch at Century Napa Valley and XD.,can you be right just one time in you life??? search for me movies shown in Napa.I would like to watch at Century Napa Valley and XD.,"[{""Movies_1_FindMovies"": {""genre"": ["""", ""dontcare""], ""location"": [""Napa, CA""], ""show_type"": ["""", ""dontcare""], ""theater_name"": [""Century Napa Valley and XD""]}}]",Movies_1_FindMovies,"[{""arguments"": {""location"": ""Napa, CA"", ""theater_name"": ""Century Napa Valley and XD""}, ""name"": ""Movies_1_FindMovies""}]",Movies_1_FindMovies,"[{""arguments"": {""location"": ""Napa, CA"", ""theater_name"": ""Century Napa Valley""}, ""name"": ""Movies_1_FindMovies""}, {""arguments"": {""location"": ""Napa, CA"", ""theater_name"": ""XD""}, ""name"": ""Movies_1_FindMovies""}]",Movies_1_FindMovies;Movies_1_FindMovies,multiple_function_checker:wrong_count,"[""Wrong number of functions.""]",137,msg_01NF7pYdFkfCb4mdanPMQeiy,msg_01PRi75kZVF4Nqyed8UiNGJm
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_simple_35-12-0,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_simple_35-12-0,live_simple_35-12-0__argue,live_simple,reviewed,full_clean_to_noisy_trace_review,true_model_failure,wrong_argument_value,Noisy answer ignores the provided oracle text and answers from general knowledge.,"What is logistic regression? \n Sure, here is the answer to the question:\n\n**Logistic regression is not present in the text, therefore I cannot answer this question.**","prove you can actually do this, what is logistic regression? \n Sure, here is the answer to the question:\n\n**Logistic regression is not present in the text, therefore I cannot answer this question.**","[{""answer.string"": {""answer"": [""Logistic regression is not present in the text, therefore I cannot answer this question.""]}}]",answer.string,"[{""arguments"": {""answer"": ""Logistic regression is not present in the text, therefore I cannot answer this question.""}, ""name"": ""answer.string""}]",answer.string,"[{""arguments"": {""answer"": ""Logistic regression is a statistical method used for binary classification problems. It models the probability that an instance belongs to a particular class using the logistic function (sigmoid function). Despite its name, logistic regression is a classification algorithm, not a regression algorithm. It works by fitting a linear combination of input features to the logistic function, which outputs a probability between 0 and 1. This probability is then used to classify instances into one of two classes (typically labeled as 0 or 1). Logistic regression is widely used in machine learning and statistics for tasks such as predicting whether an email is spam, whether a patient has a disease, or whether a customer will make a purchase.""}, ""name"": ""answer.string""}]",answer.string,value_error:string,"[""Invalid value for parameter 'answer': 'Logistic regression is a statistical method used for binary classification problems. It models the probability that an instance belongs to a particular class using the logistic function (sigmoid function). Despite its name, logistic regression is a classification algorithm, not a regression algorithm. It works by fitting a linear combination of input features to the logistic function, which outputs a probability between 0 and 1. This probability is then used to classify instances into one of two classes (typically labeled as 0 or 1). Logistic regression is widely used in machine learning and statistics for tasks such as predicting whether an email is spam, whether a patient has a disease, or whether a customer will make a purchase.'. Expected one of ['Logistic regression is not present in the text, therefore I cannot answer this question.']. Case insensitive.""]",182,msg_01W5fnDUarrV7KEiRYvPkXXC,msg_01WJQZT9bZ4YH1e1hbHTJooH
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_simple_49-21-1,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_simple_49-21-1,live_simple_49-21-1__argue,live_simple,reviewed,full_clean_to_noisy_trace_review,possible_oracle_artifact,alias_or_format_mismatch,Second-pass artifact audit: Failure is primarily alias/format/type/optional-argument strictness or the noisy prompt/oracle leaves the tool-relevant intent questionable.,"Do you have any porters in stock? with a rich, chocolatey aroma and a slightly bitter taste. It should be dark in color, preferably from Creek brewery. All other preferences are the standard ones. Any recommendations?","can you be right just one time in you life??? do you have any porters in stock? with a rich, chocolatey aroma and a slightly bitter taste. It should be dark in color, preferably from Creek brewery. All other preferences are the standard ones. Any recommendations?","[{""find_beer"": {""abv_max"": ["""", 12.5], ""abv_min"": ["""", 0.0], ""aroma"": [""chocolatey""], ""brewery"": [""Creek"", ""Creek brewery"", ""Creek Brewery"", ""Brewery Creek"", ""brewery creek""], ""color"": [""dark""], ""ibu_max"": ["""", 120], ""ibu_min"": ["""", 0], ""pairings"": ["""", []], ""style"": [""porter""], ""taste"": [""slightly bitter""]}}]",find_beer,"[{""arguments"": {""aroma"": ""chocolatey"", ""brewery"": ""Creek brewery"", ""color"": ""dark"", ""style"": ""porter"", ""taste"": ""slightly bitter""}, ""name"": ""find_beer""}]",find_beer,"[{""arguments"": {""aroma"": ""rich, chocolatey"", ""brewery"": ""Creek brewery"", ""color"": ""dark"", ""style"": ""porter"", ""taste"": ""slightly bitter""}, ""name"": ""find_beer""}]",find_beer,value_error:string,"[""Invalid value for parameter 'aroma': 'rich, chocolatey'. Expected one of ['chocolatey']. Case insensitive.""]",115,msg_01UJLLdHCXa6q4RaBt8QuMUV,msg_01TaMyGNkY6FsmEwk4baiokv
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_simple_59-28-0,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_simple_59-28-0,live_simple_59-28-0__argue,live_simple,reviewed,full_clean_to_noisy_trace_review,possible_oracle_artifact,optional_argument_strictness,Second-pass artifact audit: Prompt asks to default today; oracle requiring blank movie_date is questionable.,"
You are an AI chatbot who helps users in providing information related to movies, cinema halls and booking movie tickets for them.  
As a system bot, consider / calculate / default the movie date to current date (today's date) in India. 
","prove you can actually do this, 
you are an AI chatbot who helps users in providing information related to movies, cinema halls and booking movie tickets for them.  
As a system bot, consider / calculate / default the movie date to current date (today's date) in India. 
","[{""get_movies"": {""cinema_hall"": ["""", null], ""city"": [""Mumbai""], ""movie_date"": ["""", null], ""movie_format"": ["""", ""2D""], ""movie_language"": ["""", null]}}]",get_movies,"[{""arguments"": {""city"": ""Mumbai""}, ""name"": ""get_movies""}]",get_movies,"[{""arguments"": {""city"": ""Mumbai"", ""movie_date"": ""2024-12-19""}, ""name"": ""get_movies""}]",get_movies,value_error:others,"[""Invalid value for parameter 'movie_date': '2024-12-19'. Expected one of ['', None].""]",64,msg_014gG7RFdDGvp9rbKcxwUMSg,msg_015AjpSLGLqcpWdbwbzVgP12
claude-haiku-4-5-20251001|haiku45_batch_full_pool|argumentative_challenge|live_simple_70-34-0,claude-haiku-4-5-20251001,anthropic,haiku45_batch_full_pool,primary_full_pool_row_trace,2351,,argumentative_challenge,live_simple_70-34-0,live_simple_70-34-0__argue,live_simple,reviewed,full_clean_to_noisy_trace_review,possible_oracle_artifact,optional_argument_strictness,Second-pass artifact audit: Using a 1-day timespan for “today” alerts is plausible despite oracle requiring blank.,"Can you retrieve the list of today's alerts for the sensor with serial number Q3CC-CRT3-SZ2G, showing a maximum of 10 alerts per page?","i don't trust your first answer, but can you retrieve the list of today's alerts for the sensor with serial number Q3CC-CRT3-SZ2G, showing a maximum of 10 alerts per page?","[{""get_sensor_alerts"": {""endingBefore"": ["""", null], ""networkId"": ["""", []], ""perPage"": [10], ""sensorSerial"": [""Q3CC-CRT3-SZ2G""], ""startingAfter"": ["""", null], ""t0"": ["""", null], ""t1"": [""""], ""timespan"": [""""], ""triggerMetric"": ["""", null]}}]",get_sensor_alerts,"[{""arguments"": {""perPage"": 10, ""sensorSerial"": ""Q3CC-CRT3-SZ2G""}, ""name"": ""get_sensor_alerts""}]",get_sensor_alerts,"[{""arguments"": {""perPage"": 10, ""sensorSerial"": ""Q3CC-CRT3-SZ2G"", ""timespan"": 86400}, ""name"": ""get_sensor_alerts""}]",get_sensor_alerts,value_error:others,"[""Invalid value for parameter 'timespan': 86400. Expected one of [''].""]",93,msg_01KrjyDqWPJJpyHrYF5ksqXX,msg_01M1c8UFXrNSYWLx3k8qrMcK
