dimension,category,article_regression_count
argumentative_challenge,live_multiple,19
argumentative_challenge,parallel,16
argumentative_challenge,multiple,5
argumentative_challenge,live_simple,4
argumentative_challenge,parallel_multiple,4
argumentative_challenge,live_parallel_multiple,3
argumentative_challenge,simple_python,3
cursing,live_multiple,29
cursing,parallel,16
cursing,live_simple,5
cursing,multiple,5
cursing,simple_python,5
cursing,parallel_multiple,4
cursing,live_parallel_multiple,2
cursing,live_parallel,1
irrelevant_context,live_multiple,27
irrelevant_context,parallel,16
irrelevant_context,parallel_multiple,5
irrelevant_context,live_simple,4
irrelevant_context,multiple,4
irrelevant_context,simple_python,2
pasted_context_block,parallel,27
pasted_context_block,live_multiple,24
pasted_context_block,parallel_multiple,12
pasted_context_block,multiple,6
pasted_context_block,live_simple,3
pasted_context_block,live_parallel,1
pasted_context_block,live_parallel_multiple,1
removed_spaces,live_multiple,17
removed_spaces,parallel,7
removed_spaces,parallel_multiple,7
removed_spaces,multiple,4
removed_spaces,live_simple,3
removed_spaces,simple_python,3
telegraphic_request,live_multiple,29
telegraphic_request,parallel,17
telegraphic_request,live_simple,12
telegraphic_request,multiple,7
telegraphic_request,parallel_multiple,6
telegraphic_request,live_parallel_multiple,2
telegraphic_request,live_parallel,1
telegraphic_request,simple_python,1
typos,live_multiple,20
typos,parallel,11
typos,parallel_multiple,5
typos,live_simple,3
typos,multiple,3
typos,simple_python,2
typos,live_parallel_multiple,1
